Vgene	clone_id	Isotype	Sample	Time	Min_num
IGHV4-NL_21	1892198	IgM	data-IgM	78	100
IGHV3-9	36875	IgM	data-IgM	78	100
IGHV3-94	1233943	IgM	data-IgM	78	100
IGHV4-NL_3	1337259	IgM	data-IgM	78	100
IGHV4-NL_29	1071166	IgM	data-IgM	78	100
IGHV4-144	1989581	IgM	data-IgM	78	100
IGHV4-NL_10	1078716	IgM	data-IgM	78	100
IGHV4-NL_5	1401849	IgM	data-IgM	78	100
IGHV3-88	1442260	IgM	data-IgM	78	100
IGHV4-NL_10	510588	IgM	data-IgM	78	100
IGHV3-NL_10	1102149	IgM	data-IgM	78	100
IGHV4-NL_10	507534	IgM	data-IgM	78	100
IGHV4-144	1596837	IgM	data-IgM	78	100
IGHV4-149	592818	IgM	data-IgM	78	100
IGHV4-NL_4	323468	IgM	data-IgM	78	100
IGHV4-NL_4	2156910	IgM	data-IgM	78	100
IGHV4-NL_3	1055038	IgM	data-IgM	78	100
IGHV4-144	2270408	IgM	data-IgM	79	100
IGHV3-52	1859277	IgM	data-IgM	79	100
IGHV4-93	958584	IgM	data-IgM	79	100
IGHV4-NL_3	1152306	IgM	data-IgM	79	100
IGHV4-144	2120342	IgM	data-IgM	79	100
IGHV4-NL_4	1011063	IgM	data-IgM	79	100
IGHV3-NL_17	2239961	IgM	data-IgM	79	100
IGHV4-144	2277998	IgM	data-IgM	79	100
IGHV4-149	593073	IgM	data-IgM	79	100
IGHV4-NL_21	1306751	IgM	data-IgM	79	100
IGHV4-117	1774272	IgM	data-IgM	79	100
IGHV3-NL_17	306173	IgM	data-IgM	79	100
IGHV4-NL_29	1046587	IgM	data-IgM	79	100
IGHV6-1	857108	IgM	data-IgM	79	100
IGHV4-NL_10	1077127	IgM	data-IgM	79	100
IGHV4-NL_10	1077744	IgM	data-IgM	79	100
IGHV4-149	592818	IgM	data-IgM	79	100
IGHV4-NL_13	1951914	IgM	data-IgM	79	100
IGHV4-144	1546332	IgM	data-IgM	79	100
IGHV3-177	1008281	IgM	data-IgM	79	100
