clone_id	SHM	SHM count	Donor count	Donor	Tissue	Isotype
269873	0.0	0.0	1.0	CCM2	BM	IgM
270128	0.09361009361009359	25.555555555555557	1.0	CCM2	BM	IgM
270168	0.014652014652014652	4.0	1.0	CCM2	BM	IgM
270407	0.0	0.0	1.0	CCM2	BM	IgM
270408	0.0	0.0	1.0	CCM2	BM	IgM
270409	0.05982905982905983	16.333333333333332	1.0	CCM2	BM	IgM
270410	0.0989010989010989	27.0	1.0	CCM2	BM	IgM
270411	0.0	0.0	1.0	CCM2	BM	IgM
270412	0.0	0.0	1.0	CCM2	BM	IgM
270413	0.0	0.0	1.0	CCM2	BM	IgM
270414	0.014598540145985401	4.0	1.0	CCM2	BM	IgM
270415	0.0	0.0	1.0	CCM2	BM	IgM
270416	0.0989010989010989	27.0	1.0	CCM2	BM	IgM
270417	0.0	0.0	1.0	CCM2	BM	IgM
271039	0.0	0.0	1.0	CCM2	BM	IgM
271040	0.014705882352941176	4.0	1.0	CCM2	BM	IgM
271317	0.0	0.0	1.0	CCM2	BM	IgM
271470	0.018518518518518517	5.0	1.0	CCM2	BM	IgM
271471	0.02973977695167286	8.0	1.0	CCM2	BM	IgM
271472	0.0	0.0	1.0	CCM2	BM	IgM
271473	0.02962962962962963	8.0	1.0	CCM2	BM	IgM
271474	0.01845018450184502	5.0	1.0	CCM2	BM	IgM
271844	0.04779411764705882	13.0	1.0	CCM2	BM	IgM
271886	0.032846715328467155	9.0	1.0	CCM2	BM	IgM
272031	0.014598540145985401	4.0	1.0	CCM2	BM	IgM
272032	0.02197802197802198	6.0	1.0	CCM2	BM	IgM
272033	0.014545454545454545	4.0	1.0	CCM2	BM	IgM
272034	0.0	0.0	1.0	CCM2	BM	IgM
272035	0.0	0.0	1.0	CCM2	BM	IgM
272036	0.01818181818181818	5.0	1.0	CCM2	BM	IgM
272037	0.0	0.0	1.0	CCM2	BM	IgM
272038	0.0	0.0	1.0	CCM2	BM	IgM
272039	0.014598540145985401	4.0	1.0	CCM2	BM	IgM
272040	0.0	0.0	1.0	CCM2	BM	IgM
272041	0.014598540145985401	4.0	1.0	CCM2	BM	IgM
272042	0.0	0.0	1.0	CCM2	BM	IgM
